feature	Bifidobacterium.adolescentis	Bifidobacterium.bifidum	Bifidobacterium.longum	Bifidobacterium.pseudocatenulatum	Collinsella.aerofaciens	Bacteroides.caccae	Bacteroides.cellulosilyticus	Bacteroides.dorei	Bacteroides.eggerthii	Bacteroides.faecis	Bacteroides.finegoldii	Bacteroides.fragilis	Bacteroides.intestinalis	Bacteroides.massiliensis	Bacteroides.ovatus	Bacteroides.salyersiae	Bacteroides.stercoris	Bacteroides.thetaiotaomicron	Bacteroides.uniformis	Bacteroides.vulgatus	Bacteroides.xylanisolvens	Bacteroidales.bacterium.ph8	Barnesiella.intestinihominis	Coprobacter.fastidiosus	Odoribacter.splanchnicus	Parabacteroides.distasonis	Parabacteroides.goldsteinii	Parabacteroides.merdae	Parabacteroides.unclassified	Paraprevotella.clara	Paraprevotella.unclassified	Prevotella.copri	Alistipes.finegoldii	Alistipes.onderdonkii	Alistipes.putredinis	Alistipes.shahii	Alistipes.unclassified	Streptococcus.salivarius	Clostridium.bolteae	Clostridium.citroniae	Clostridium.clostridioforme	Clostridium.hathewayi	Clostridium.leptum	Clostridium.nexile	Clostridium.symbiosum	Flavonifractor.plautii	Eubacterium.eligens	Eubacterium.hallii	Eubacterium.rectale	Eubacterium.siraeum	Eubacterium.sp.3.1.31	Eubacterium.ventriosum	Ruminococcus.gnavus	Ruminococcus.obeum	Ruminococcus.torques	Coprococcus.comes	Dorea.longicatena	Lachnospiraceae.bacterium.1.1.57FAA	Lachnospiraceae.bacterium.3.1.46FAA	Roseburia.hominis	Roseburia.intestinalis	Roseburia.inulinivorans	Roseburia.unclassified	Oscillibacter.unclassified	Peptostreptococcaceae.noname.unclassified	Faecalibacterium.prausnitzii	Ruminococcus.bromii	Ruminococcus.callidus	Ruminococcus.lactaris	Subdoligranulum.unclassified	Coprobacillus.unclassified	Acidaminococcus.unclassified	Dialister.invisus	Veillonella.atypica	Veillonella.dispar	Veillonella.parvula	Veillonella.unclassified	Burkholderiales.bacterium.1.1.47	Parasutterella.excrementihominis	Sutterella.wadsworthensis	Bilophila.unclassified	Escherichia.coli	Escherichia.unclassified	Klebsiella.pneumoniae	Haemophilus.parainfluenzae	Akkermansia.muciniphila	C2likevirus.unclassified
MSM79HCG	0	0	0	0.000482254387503204	6.5199893881552e-05	0	0	0.230795258843579	0	0	0	0	0	0	0	0	0	0.287486566573588	4.49654440562428e-05	2.58551303323396e-05	0	0	0	0	0	0	0	0	8.99308881124856e-05	0	0	1.79861776224971e-05	0	0	0.148387089521703	0.0186213145197915	0	5.39585328674913e-05	0	0	0	0	0.00424923446331494	0	0	0.00210101037352794	0.0269017010427486	0.000111289474039201	0.0320187685763491	0	0	0.00496755743211342	0	8.99308881124856e-05	0.00176376954310612	0.000258551303323396	0.000319254652799324	0	0	0.000101172249126546	0.0137526810646019	0.0070562023085259	0	0	0.0012410462559523	0.177948496580378	0	0	0	0.00183571425359611	0	0	0.0113088091801451	0.00277998857877721	0.00166372143008098	0.0148048724555179	0.0023145962327951	0	0	0	0.00179187294564127	0	0	0	0.00320940856951433	0.00133997023287603	0
MSM9VZL5	0.000514332140387159	0	0.00106089397103357	0	6.84880918009011e-05	0.0161014160920158	0	0.0254936849950648	0	3.89442090632575e-05	0.00191632366666443	0	0	2.68580752160396e-06	0.0259596726000631	0	0.125176088255635	0.0111447583108956	0.186869087026878	0.0389871819836031	0.00598129335061203	0	0.0128408457607886	0.000726510934593872	0.00965144932888384	0	0.00429594913080554	0.0519717184467975	0	0	0	0	0.00259717587339103	0.0134612672982791	0.0434563656995521	0.00148659446320779	0	0	0	0	0	0	0.000933318113757378	0	0	0.000158462643774634	0	0.000232322350618743	0.0781287978996985	0	0	0.000662051554075377	0.000107432300864159	0.000558647964493625	0.00252197326278612	2.28293639336337e-05	0.00192840980051165	0	0.00158596934150714	0.000627136056294526	0.140205867146531	0.00759412076733521	0	0.00260120458467344	0	0.143330804197917	0	0.016784954106264	0	0.00945269957228515	0	0	0.00378430279793999	0	0	0	0	0	2.01435564120297e-05	0.00531387018149344	0.00337606005465618	0	0	0	0.000265894944638792	0	0
MSM9VZMM	0	0	0.000547892286233788	0	0	0.00779028540544958	0.106198240429993	0.0550613175045085	0	0	0.0512762175745273	0	0	0.0906232414050558	3.99311327255134e-05	0	0.111194275175651	1.85726198723318e-05	0.23194787779959	0.0676414815750325	0.00557642911666763	0.0016678212645354	0.034993601732454	0	0.0145451472530167	0	0	0.00722103460636261	0	0	0	0	0.00760734509970711	0.0125523051407155	0.0365973474584298	0.0115456691436351	0	0	0	0	0	0	0	0	0	5.47892286233788e-05	0.00375538373818549	3.71452397446636e-06	0.00133722863080789	0.0107461178581312	0	0	0	6.03610145850784e-05	0.00160374572597585	5.57178596169954e-06	6.96473245212443e-05	0	0	0.00105028165378036	0.00880806497445336	0.00155917143828226	0	0.000869198610025129	0	0.0848945168054351	0.000696473245212443	0	0.000381667338376419	0.0132599219578513	0	0	0	1.67153578850986e-05	5.20033356425291e-05	0.000448528769916813	0.000469887282769995	0	0	0.0119681962457306	0.00126943856827388	7.15045865084775e-05	0	0	0.00190183627492678	0	0
PSM6XBRK	0	0.00023950370159786	0.00023950370159786	0.000942437329864749	0.00134939890412453	0.0283743734933659	0	0.0174857174012096	0	0.0627869663253901	0	0	0	0.227713499051721	0.0573309551719169	0	0.163390204103886	0.000880127423757988	0.0103161838298005	0.0943099372617133	9.34648591601404e-05	0	0.0088986334658717	0.000132408550476865	0	0.0771902905588809	0	0.0112566739750994	0.000833394994177918	0.00672557549039843	0.0115214910760531	0	0.00025508117812455	0	0.000147986027003556	0.00488548607568317	0	0	0	0	0	0	0	0	0	0.000492637695156573	0.00276889645261916	0	0.0406474778118319	0	0	0.0241431414318038	0.000605574399975076	0.000562736339526678	0.00319143550340563	0.00427017575287891	0.00398588680626682	0	0.00821322449869733	0.00391773534646255	0	0.0126352806477115	0	0.000233662147900351	0.000397225651430596	0.0632776568359809	0	0	0.00268906188541987	0.00226262846550173	0	0.0339783706738427	0	0.000159669134398573	0.00020834874854448	0.000987222574878983	0.000831447809612082	0	0	0	0.00224120943527753	0	0	0	0	0	0
PSM6XBSE	0	0	0.00397890669336275	0	0	0.0049481275545665	0	0	0.0215651641617834	0	0	0.0896529296613466	0	0	0.00755609684556868	0	0	0.00133905513718939	0.00536897345482602	0.0463950722770951	0	0	0.00790042530941738	0	0	0	0	0	0.00273549835168689	0	0	0	0	0.000216799403163996	0	0	0.000229552309232466	0.00162599552372997	0.000809809535347867	0	0	0	0	0	0.00101385603244339	0	0	0.000835315347484808	0.148501214714303	0	0	0.0011413850931281	0.0401652776626474	0.0124085776046217	0.00573880773081166	0.000153034872821644	0.00123065543560739	0	0	0.00348791980972664	0.221422331613816	0.0532752651010349	0	0	0	0.256218635821638	0	0	0	0.0247597671319352	0.0101640661365709	0.00102023248547763	0	0.00353255498096629	0.00134543159022362	0.00615327717803694	0.0117454264890612	0	0	0	0	0	0	0	0.00136456094932633	0	0
PSM6XBW3	0	0	0.0126056418455916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000635278666057561	0.0236694837825491	0	0.0128055047967108	0.00332629054362723	0	0.0245545911375057	0.0164244518044769	0.0115492233896757	0	0	0	0.00686671996345363	0	0	0.209477786660576	0	0.004946608040201	0	0	0	0	0	0	0	0	0.00366177478300594	0.015368033348561	0	0	0	0	0.262091708542714	0.00624571722247602	0	0	0.000656692553677478	0.0158676907263591	0.0882323549566012	0.0340409433531293	0	0	0	0	0.243375970762905	0	0	0.00305504796710827	0	0.000542485153037917
PSM7J4EF	0.000528768300340395	0	0.0013714927790079	0	0	0	0	0.302538087841634	0.0216134042764136	0	0	0.0743910902541393	0	0	0.0426319442149443	0	0	0	0.0203575795631052	0.000809676459896229	0.000413100234640933	0	0.00125582471330844	0	0	0	0	0	0.0116494266168743	0	0	0	0	0	0.0177467860801745	0	0	0	0	0	0	0	0	0	0	0	0.00603126342575763	0	0.0935258931227073	0	0	0	0	0.00736970818599425	0.00692355993258204	0.00409795432763806	0.0167057734888793	0.00138801678839354	0.00133844476023662	0	0	0	0.000132192075085099	0	0	0.0836610595194818	0	0	0.00117320466638025	0.0760600152020886	0	0	0.0895270828513831	0	0	0.00327175385835619	0.00363528206484021	0.0272150434581447	0.0225717968207806	0	0.000694008394196768	0.046019366139	6.60960375425493e-05	0	0.0132853035460524	0	0
PSMA265X	4.00823788319231e-05	0	0.00583103177769167	0	0	0	0	0	0	0	0	0.130164662229611	0.0131832852662901	0	0.00895173127246283	0	0	0.0135650222075466	0.0572891714590558	0.372941722129863	0.0010745894896368	0	0	0	0	0.00606389131185809	0	0.0286703529730627	0	0	0	1.90868470628205e-05	0	0.0189780520345625	0	0	0.00101923763315462	0	0.000175598992977949	0	0	7.2530018838718e-05	0.000337837193011924	0	0.00064131806131077	0.00086463417194577	0.00495303681280193	0.00150786091796282	0.127899053483254	0	0	0.00618413844835385	0.000206137948278462	0.00187241969686269	0.00982400018323373	0	0	0	0	5.72605411884616e-06	0.0112612397670641	0.000320659030655385	0	0.0113910303270913	0	0.118451064187158	0	0	0.00327339427127372	0.0374789328925544	0	0	0.000488623284808206	0	0	0.000103068974139231	0	0	0	0	0.00378873914196988	0.000689035178967822	0	0	0.00041800195067577	0	0
CSM5FZ3N_P	0	0	0	0	0	0.0580617589072246	0	0.000223764156610719	0	0	0	0.0137262174987602	0	0	0	0	0	0.127446790496273	0.535693406819364	0.0609082002507771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00273355131859581	0.000205621116885525	0.0315668732285338	0.000211668796793923	0.000407210447165452	0	0.000409226340468252	0.00041325812707385	0	0.00338670074870277	0	0	0	0	0.00463857048974112	0.00117728168883477	0.0145305589265771	0	0.000925295025984865	0	9.27310919287664e-05	0	0	0	0.0270371609771438	0.00582391575178709	0	0.0782509303347592	0	0	0	0.00429385273496244	0	0	0.0236887622011942	0	0	0	0	0	0	0	0	0.000229811836519117	0.000264082022666704	0	0	0	0.00365279866467228
CSM5FZ4A_P	0	0	0.000238233924272582	0	0.000178675443204437	0.0497146553172025	0.000638466917050521	0.00138056559115962	0	0.00599396553469818	0.0130147192830112	0	0	0	0.0661921046895157	0	0.331317874333987	0.000334718663602978	0.125131177554553	0.247538150185048	0	0	0	0	0	0.0271300792961617	0	0.0238900979260546	0	0	0	0	0.00610474430948493	0	0	0	0.00473489924491758	0	0.000667054987963231	1.78675443204437e-05	6.43231595535973e-05	2.14410531845324e-05	0.00059320247143873	0	1.19116962136291e-05	0.0015544763558786	0.00080999534252678	0	0.00551035066842483	0	0	0	0	0	0.000264439655942567	0	0.000438350420661552	0	0	0	0	0.00147228565200456	0	0.0274516950939297	0	0.0210455848702399	0	0	0.000464556152331536	0.0158044385362431	0	0	0	0	0	0	0	0.00145084459882003	9.5293569709033e-06	0	0.00502077995404468	0	0.000323998137010712	0	0	0.00135078635062554	0.0121189597277463
