ID	Bifidobacterium adolescentis	Bifidobacterium bifidum	Bifidobacterium longum	Bifidobacterium pseudocatenulatum	Collinsella aerofaciens	Bacteroides caccae	Bacteroides cellulosilyticus	Bacteroides dorei	Bacteroides eggerthii	Bacteroides faecis	Bacteroides finegoldii	Bacteroides fragilis	Bacteroides intestinalis	Bacteroides massiliensis	Bacteroides ovatus	Bacteroides salyersiae	Bacteroides stercoris	Bacteroides thetaiotaomicron	Bacteroides uniformis	Bacteroides vulgatus	Bacteroides xylanisolvens	Bacteroidales bacterium ph8	Barnesiella intestinihominis	Coprobacter fastidiosus	Odoribacter splanchnicus	Parabacteroides distasonis	Parabacteroides goldsteinii	Parabacteroides merdae	Parabacteroides unclassified	Paraprevotella clara	Paraprevotella unclassified	Prevotella copri	Alistipes finegoldii	Alistipes onderdonkii	Alistipes putredinis	Alistipes shahii	Alistipes unclassified	Streptococcus salivarius	Clostridium bolteae	Clostridium citroniae	Clostridium clostridioforme	Clostridium hathewayi	Clostridium leptum	Clostridium nexile	Clostridium symbiosum	Flavonifractor plautii	Eubacterium eligens	Eubacterium hallii	Eubacterium rectale	Eubacterium siraeum	Eubacterium sp 3 1 31	Eubacterium ventriosum	Ruminococcus gnavus	Ruminococcus obeum	Ruminococcus torques	Coprococcus comes	Dorea longicatena	Lachnospiraceae bacterium 1 1 57FAA	Lachnospiraceae bacterium 3 1 46FAA	Roseburia hominis	Roseburia intestinalis	Roseburia inulinivorans	Roseburia unclassified	Oscillibacter unclassified	Peptostreptococcaceae noname unclassified	Faecalibacterium prausnitzii	Ruminococcus bromii	Ruminococcus callidus	Ruminococcus lactaris	Subdoligranulum unclassified	Coprobacillus unclassified	Acidaminococcus unclassified	Dialister invisus	Veillonella atypica	Veillonella dispar	Veillonella parvula	Veillonella unclassified	Burkholderiales bacterium 1 1 47	Parasutterella excrementihominis	Sutterella wadsworthensis	Bilophila unclassified	Escherichia coli	Escherichia unclassified	Klebsiella pneumoniae	Haemophilus parainfluenzae	Akkermansia muciniphila	C2likevirus unclassified
PSM6XBVY_P	0	0	0	0	0	11497	0	0	10	0	0	885	5529	0	24613	0	114006	17288	28234	134	4763	6717	0	0	12732	39778	0	7495	49659	0	0	0	0	0	68017	5786	0	3426	8591	0	143	105	376	0	187	143	0	117	0	1721	72	0	584	3075	729	1975	0	0	613	0	0	0	760	0	0	60423	30029	142	2945	7129	135	29252	0	807	0	335	2965	0	169	0	1266	73	55	0	11456	4380	0
MSM79HF1_P	0	0	0	0	3062	12999	0	5092	26664	12	23	0	0	11080	2621	0	1348	1330	24915	551	0	1414	4108	0	6041	15029	1256	3997	0	424	466	0	429	6294	0	962	0	0	0	0	0	0	623	0	0	0	1993	671	88162	17649	0	410	0	4799	6389	2567	3082	0	0	10468	818	3381	0	1083	0	54880	28345	0	6659	16277	0	0	0	0	0	0	0	816	1067	0	981	7407	2194	0	8227	579	0
HSM7CZ2X_P	0	8118	2945	1102	880	0	0	0	0	0	0	0	0	0	77863	0	0	0	0	367	11758	0	0	0	0	96500	0	40695	0	0	0	0	0	0	0	0	0	0	10537	0	1249	212	0	0	0	640	0	1029	162496	0	0	0	1223	220	4447	2944	3898	283	0	524	0	0	1051	0	0	17532	0	0	0	685	267	0	1207	0	0	20	0	13378	0	0	0	33108	1250	0	427	0	0
MSM79HBX_P	0	0	13275	14268	137	4251	2813	487	0	0	0	288	0	0	13339	0	52597	54067	3584	15042	0	2206	426	2160	0	193604	0	25925	0	0	0	0	15	4	1225	661	0	683	0	12	0	0	0	0	0	13	1556	662	0	684	0	0	0	322	1029	36	126	555	151	72	0	0	17	1471	0	38476	0	0	0	3777	0	0	47	0	0	55	0	0	0	31548	440	0	76	455	32	8717	0
CSM79HQR_P	0	0	0	0	0	875	0	0	0	0	2407	0	0	0	1398	0	2073	194	2175	10313	0	0	0	0	0	535	0	1591	0	0	0	0	0	0	0	0	0	239	0	0	0	0	0	0	0	0	10547	530	5543	0	0	396	0	449	1309	0	94	81	320	1308	0	0	0	26	254	46024	0	0	1442	224	124	0	0	1413	110	1531	3167	0	0	0	0	1531	0	0	12801	0	0
HSM7J4JT_P	0	2307	105	0	1829	0	45	0	0	17484	0	992	0	0	13020	0	0	2934	10294	17993	0	0	37255	0	5861	1894	0	54700	0	0	0	413400	161	0	0	0	333	0	12	0	51	0	25	0	434	0	0	0	1501	0	0	4992	16	84	595	0	0	318	63	166	965	30748	0	1704	0	157800	0	0	0	31208	0	0	2833	0	0	0	0	2083	281	0	1584	2344	2561	0	0	0	0
HSM7J4JV_P	0	0	0	0	588	3444	56	186	0	0	3641	0	0	6297	2583	0	7496	0	2585	6253	646	0	0	1047	3491	209	0	13670	0	1923	1654	251587	1497	602	15444	3236	0	237	0	0	0	0	0	0	0	0	0	0	13910	0	0	1239	1029	61	298	0	223	0	333	35	0	948	258	263	185	24922	0	0	0	734	0	0	0	1937	151	530	91	0	0	0	0	0	0	0	244	267	0
MSM9VZLX_P	0	0	0	0	0	19891	0	351	0	0	30052	0	0	0	14533	0	163754	71449	40787	144975	0	0	0	0	9449	0	0	44090	0	0	0	0	0	0	0	315	168	0	93	0	0	0	0	0	0	316	131	125	5006	0	0	0	49	75	1527	128	0	0	298	193	389	362	263	0	0	34735	0	0	0	81369	0	0	0	0	0	35	195	0	0	13711	2265	77	131	0	1186	0	0
HSM5MD5X_P	1907	102	195	0	2000	11680	305	2145	0	11	0	35392	1228	35	46049	348	16879	4183	15626	233403	35919	0	0	0	0	1056	0	1344	1681	0	83	1901	288	0	0	1872	507	2747	409	109	492	3654	117	10025	1303	633	1047	8	1939	0	0	0	1716	415	11241	346	13456	2627	1015	532	6969	5762	9682	2019	183	285120	585	230	533	13554	0	0	527	9748	1781	7884	40358	353	285	50219	488	5013	462	0	5302	18420	0
MSM6J2JF_P	16862	5208	2129	0	2698	27707	2149	3347	403	412	237	11786	21438	242	64370	7130	1763	21548	82559	97783	9469	0	0	0	4675	4223	0	23371	0	0	14	8912	8146	153	1006	18	9264	110	1313	35	224	1250	1882	603	361	5472	53	1112	22096	743	0	0	748	852	6628	0	933	0	530	540	2297	1284	0	16952	187	21383	12005	0	0	53129	17	0	6358	973	205	4635	2194	1332	177	69	119	11111	603	0	151	295543	1981
